"Nombre d'incendies suivant les critères de sélection : 2541"
"Critères de sélection =>";"Date de première alerte, de : 2025-01-01 00:00:00";"Date de première alerte, jusqu'à : 2025-12-31 23:59:00";"France entière";"Type de feu : F"
Année;Numéro;Département;"Code INSEE";"Nom de la commune";"Date de première alerte";"Surface parcourue (m2)";"Surface forêt (m2)";"Surface maquis garrigues (m2)";"Autres surfaces naturelles hors forêt (m2)";"Surfaces agricoles (m2)";"Autres surfaces (m2)";"Surface autres terres boisées (m2)";"Surfaces non boisées naturelles (m2)";"Surfaces non boisées artificialisées (m2)";"Surfaces non boisées (m2)";"Précision des surfaces";"Type de peuplement";Nature;"Décès ou bâtiments touchés";"Nombre de décès";"Nombre de bâtiments totalement détruits";"Nombre de bâtiments partiellement détruits";"Précision de la donnée"
2025;694;"56";"56179";"Pont-Scorff";"2025-01-01 01:08:00";1;1;;0;0;0;;;;;"Estimées";;"Involontaire (particulier)";"Non";;;;""
2025;8949;"83";"83126";"La Seyne-sur-Mer";"2025-01-01 01:46:00";200;0;200;0;0;0;;;;;"Estimées";"1";;"Non";;;;""
2025;26;"2B";"2B007";"Albertacce";"2025-01-01 13:04:00";10000;0;10000;0;0;0;;;;;"Estimées";;;"Non";;;;""
2025;1;"06";"06148";"Tourrettes-sur-Loup";"2025-01-02 09:22:00";20;0;20;0;0;0;;;;;"Estimées";;;"Non";;;;""
2025;27;"2B";"2B049";"Calenzana";"2025-01-02 10:35:00";2000;0;2000;0;0;0;;;;;"Estimées";;;"Non";;;;""
2025;695;"56";"56114";"Locmaria";"2025-01-02 13:50:00";10;10;;0;0;0;;;;;"Estimées";;;"Non";;;;""
2025;2;"06";"06157";"Vence";"2025-01-02 15:55:00";10;0;10;0;0;0;;;;;"Estimées";;;"Non";;;;""
2025;8951;"83";"83081";"Montauroux";"2025-01-02 18:05:00";5;5;0;0;0;0;;;;;"Estimées";"5";"Involontaire (travaux)";"Non";;;;""
2025;13959;"84";"84049";"Gigondas";"2025-01-03 18:01:00";60;60;0;0;0;0;;;;;"Estimées";;"Involontaire (travaux)";"Non";;;;""
2025;421;"13";"13047";"Istres";"2025-01-04 21:48:00";200;173;0;0;0;27;;;;;"Mesurées";;"Malveillance";"Oui";1;1;0;""
2025;22419;"974";"97412";"Saint-Joseph";"2025-01-05 14:55:00";500;500;;0;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2025;1492;"13";"13091";"Saint-Cannat";"2025-01-06 17:09:00";20;20;0;0;0;0;;;;;"Estimées";;"Accidentelle";"Non";;;;""
2025;8958;"83";"83117";"Saint-Paul-en-Forêt";"2025-01-07 22:47:00";50;50;0;0;0;0;;;;;"Estimées";"5";"Accidentelle";"Non";;;;""
2025;8961;"83";"83009";"Bandol";"2025-01-08 15:02:00";30;0;30;0;0;0;;;;;"Estimées";;"Involontaire (travaux)";"Non";;;;""
2025;22425;"974";"97421";"Salazie";"2025-01-09 13:31:00";40000;40000;;0;0;0;;;;;"Estimées";;;"Non";;;;""
2025;28;"2B";"2B332";"Urtaca";"2025-01-09 19:03:00";300;0;300;0;0;0;;;;;"Estimées";;;"Non";;;;""
2025;41;"34";"34065";"Cazedarnes";"2025-01-10 11:22:00";79;79;0;0;0;0;;;;;"Mesurées";"1";"Malveillance";"Non";;;;""
2025;37;"34";"34301";"Sète";"2025-01-10 21:48:00";98;98;0;0;0;0;;;;;"Mesurées";"1";"Malveillance";"Non";;;;""
2025;36;"34";"34059";"La Caunette";"2025-01-11 14:36:00";42;42;0;0;0;0;;;;;"Mesurées";"1";"Malveillance";"Non";;;;""
2025;8962;"83";"83091";"Pierrefeu-du-Var";"2025-01-12 12:22:00";50;50;0;0;0;0;;;;;"Estimées";"5";;"Non";;;;""
2025;8963;"83";"83073";"Le Luc";"2025-01-12 17:17:00";1;1;0;0;0;0;;;;;"Estimées";"5";"Involontaire (particulier)";"Non";;;;""
2025;17016;"30";"30344";"Vergèze";"2025-01-13 11:39:00";231;231;0;;0;0;;;;;"Mesurées";;"Accidentelle";"Non";0;0;0;""
2025;8964;"83";"83100";"Puget-Ville";"2025-01-13 15:18:00";50;50;0;0;0;0;;;;;"Estimées";"4";;"Non";;;;""
2025;1495;"13";"13005";"Aubagne";"2025-01-14 07:17:00";100;100;0;0;0;0;;;;;"Estimées";;"Involontaire (travaux)";"Non";;;;""
2025;64;"2B";"2B138";"Lavatoggio";"2025-01-14 08:24:00";85000;12000;73000;0;0;0;;;;;"Estimées";"1";;"Non";;;;""
2025;55;"05";"05040";"Chorges";"2025-01-14 18:03:00";4;4;0;0;0;0;;;;;"Estimées";"4";"Involontaire (travaux)";"Non";;;;""
2025;65;"2B";"2B311";"Santa-Maria-Poggio";"2025-01-15 11:12:00";20000;9000;11000;0;0;0;;;;;"Estimées";"2";;"Non";;;;""
2025;22457;"974";"97412";"Saint-Joseph";"2025-01-15 14:07:00";2000;2000;;0;0;0;;;;;"Estimées";;;"Non";;;;""
2025;57;"06";"06050";"Coursegoules";"2025-01-15 14:44:00";10000;0;10000;0;0;0;;;;;"Estimées";;"Malveillance";"Non";;;;""
2025;66;"2B";"2B223";"Pietralba";"2025-01-15 16:35:00";70000;0;70000;0;0;0;;;;;"Estimées";"1";;"Non";;;;""
2025;67;"2B";"2B286";"Sorbo-Ocagnano";"2025-01-15 16:38:00";3000;0;3000;0;0;0;;;;;"Estimées";;;"Non";;;;""
2025;59;"05";"05128";"Saint-André-d'Embrun";"2025-01-15 21:50:00";20;20;0;0;0;0;;;;;"Estimées";"2";"Involontaire (travaux)";"Non";;;;""
2025;8970;"83";"83140";"Tourves";"2025-01-16 15:14:00";100;100;0;0;0;0;;;;;"Estimées";"5";"Involontaire (particulier)";"Non";;;;""
2025;9038;"2A";"2A348";"Vico";"2025-01-16 16:01:00";700;700;0;0;0;0;;;;;"Estimées";;"Involontaire (travaux)";"Non";;;;""
