id,name,organization_id,lat,lon,fwi,fwi_class,last_refresh_at
1,camera-001,2,48.8487,3.0244,,,
2,camera-002,2,48.5399,2.2086,,,
3,camera-003,2,48.6695,2.9506,,,
4,camera-004,2,44.5062,4.2711,,,
6,camera-006,1,44.5062,4.2711,,,
7,camera-007,3,44.5062,4.2711,,,
8,camera-008,3,45.5903,1.4059,,,
9,camera-009,4,44.4615,4.3746,,,
10,camera-010,4,44.4615,4.3746,,,
11,camera-011,4,44.4615,4.3746,,,
12,camera-012,5,45.1191,4.7248,,,
13,camera-013,5,45.1191,4.7248,,,
14,camera-014,5,45.1191,4.7248,,,
15,camera-015,5,45.1191,4.7248,,,
16,camera-016,5,44.7003,4.5331,,,
17,camera-017,5,44.7003,4.5331,,,
18,camera-018,5,44.7003,4.5331,,,
19,camera-019,5,44.7003,4.5331,,,
20,camera-020,5,44.6849,3.9275,,,
21,camera-021,5,44.6849,3.9275,,,
22,camera-022,5,44.6825,4.0297,,,
24,camera-024,6,43.617,7.0036,,,
25,camera-025,6,43.617,7.0036,,,
26,camera-026,6,43.617,7.0036,,,
27,camera-027,6,43.617,7.0036,,,
28,camera-028,6,44.0951,7.5062,,,
29,camera-029,6,44.0951,7.5062,,,
30,camera-030,6,44.0951,7.5062,,,
31,camera-031,6,44.0951,7.5062,,,
32,camera-032,6,44.0119,7.5511,,,
33,camera-033,6,44.0119,7.5511,,,
34,camera-034,6,44.0119,7.5511,,,
35,camera-035,6,44.0119,7.5511,,,
36,camera-036,6,44.1229,7.5076,,,
37,camera-037,6,44.1229,7.5076,,,
38,camera-038,6,44.1229,7.5076,,,
39,camera-039,6,44.1229,7.5076,,,
40,camera-040,7,48.4325,2.6346,,,
41,camera-041,7,48.4325,2.6346,,,
42,camera-042,8,43.7491,2.9742,,,
43,camera-043,8,43.7491,2.9742,,,
44,camera-044,9,44.7888,-1.0861,,,
45,camera-045,9,44.7888,-1.0861,,,
46,camera-046,9,44.7888,-1.0861,,,
47,camera-047,9,44.7888,-1.0861,,,
48,camera-048,9,45.071,-0.8412,,,
49,camera-049,9,45.071,-0.8412,,,
50,camera-050,9,45.071,-0.8412,,,
51,camera-051,9,45.071,-0.8412,,,
53,camera-053,2,48.8247,2.4589,,,
54,camera-054,2,48.8247,2.4589,,,
55,camera-055,2,48.8247,2.4589,,,
56,camera-056,2,48.874,2.3981,,,
59,camera-059,8,44.1462,2.8633,,,
60,camera-060,8,44.1462,2.8633,,,
63,camera-063,7,48.6501,3.3004,,,
65,camera-065,7,48.6501,3.3004,,,
66,camera-066,7,48.1799,2.7572,,,
67,camera-067,7,48.1799,2.7572,,,
68,camera-068,7,48.3965,1.996,,,
69,camera-069,7,48.3965,1.996,,,
70,camera-070,11,48.5315,7.0794,,,
71,camera-071,11,48.5315,7.0794,,,
72,camera-072,11,48.8687,7.5593,,,
73,camera-073,11,48.8687,7.5593,,,
74,camera-074,11,48.444,7.4698,,,
81,camera-081,14,46.8486,1.8869,,,
82,camera-082,14,46.8486,1.8869,,,
83,camera-083,12,44.066,-0.8959,,,
84,camera-084,12,44.066,-0.8959,,,
85,camera-085,16,41.3428,1.5136,,,
86,camera-086,16,41.5367,1.8377,,,
87,camera-087,16,41.3708,1.7156,,,
88,camera-088,16,41.4483,1.8308,,,
89,camera-089,16,41.494,1.4299,,,
90,camera-090,16,41.4601,1.515,,,
91,camera-091,5,44.7295,4.6729,,,
92,camera-092,5,44.5363,4.1335,,,
94,camera-094,5,44.5595,4.1852,,,
95,camera-095,5,44.554,4.4368,,,
96,camera-096,5,44.8559,4.5599,,,
97,camera-097,5,44.9354,4.5255,,,
98,camera-098,5,44.4954,4.2412,,,
99,camera-099,5,45.0185,4.4323,,,
100,camera-100,12,44.1352,-0.1467,,,
101,camera-101,12,44.1352,-0.1467,,,
104,camera-104,4,45.6183,6.089,,,
106,camera-106,17,43.617,7.0036,,,
108,camera-108,17,44.0951,7.5062,,,
110,camera-110,17,44.0119,7.5511,,,
112,camera-112,17,44.1229,7.5076,,,
114,camera-114,18,43.089,2.6971,,,
115,camera-115,18,43.089,2.6971,,,
116,camera-116,18,43.089,2.6971,,,
117,camera-117,18,43.089,2.6971,,,
120,camera-120,19,49.0632,8.1628,,,
121,camera-121,19,49.0632,8.1628,,,
122,camera-122,11,48.6815,7.3874,,,
123,camera-123,11,48.6815,7.3874,,,
124,camera-124,11,48.5658,7.4966,,,
125,camera-125,11,48.5658,7.4966,,,
126,camera-126,11,48.984,7.248,,,
127,camera-127,11,48.984,7.248,,,
128,camera-128,11,48.9525,7.2941,,,
129,camera-129,11,48.9525,7.2941,,,
132,camera-132,20,43.6113,4.5771,,,
133,camera-133,20,43.6113,4.5771,,,
134,camera-134,21,48.3943,2.0692,,,
135,camera-135,21,48.3943,2.0692,,,
136,camera-136,21,48.3902,2.1986,,,
137,camera-137,21,48.3902,2.1986,,,
138,camera-138,4,45.6183,6.089,,,
141,camera-141,22,48.8711,1.6329,,,
142,camera-142,22,48.8711,1.6329,,,
